businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
FLAGSTAFF AZ,Wal-Mart,2750 S WOODLANDS VILLAGE BLVD,FLAGSTAFF,COCONINO,AZ,86001-7128,1175,No,,Yes,
STOUGHTON WI,WM Supercenter,2600 STATE HIGHWAY 138,STOUGHTON,DANE,WI,53589-3701,1176,No,Available,No,Available
"MANCHESTER, MO",WM Supercenter,201 HIGHLANDS BOULEVARD DR,MANCHESTER,ST. LOUIS,MO,63011-4383,1177,No,Not Available,Yes,Not Available
BEDFORD TX,WM Supercenter,4101 HIGHWAY 121,BEDFORD,TARRANT,TX,76021-3033,1178,No,Available,No,Available
"ARDEN, NC",WM Supercenter,60 AIRPORT RD,ARDEN,BUNCOMBE,NC,28704-9405,1179,Yes,Available,Yes,Available
AMORY MS,WM Supercenter,1515 HIGHWAY 278 E,AMORY,MONROE,MS,38821-5909,118,No,,Yes,
GREENSBURG IN,WM Supercenter,790 GREENSBURG COMMONS CTR,GREENSBURG,DECATUR,IN,47240-9469,1180,No,,Yes,Not Available
MARIETTA GA,WM Supercenter,1785 COBB PKWY S,MARIETTA,COBB,GA,30060-9288,1181,Yes,Available,Yes,Available
PALM COAST FL,WM Supercenter,174 CYPRESS POINT PKWY,PALM COAST,FLAGLER,FL,32164-7438,1182,Yes,Available,Yes,Available
"WEST COLUMBIA, SC",WM Supercenter,2401 AUGUSTA RD,WEST COLUMBIA,LEXINGTON,SC,29169-4543,1183,Yes,,Yes,Available
"STONE MOUNTAIN, GA",WM Supercenter,1825 ROCKBRIDGE RD,STONE MOUNTAIN,GWINNETT,GA,30087-3335,1184,No,Available,Yes,Available
AUSTIN (N) TX,WM Supercenter,1030 NORWOOD PARK BLVD,AUSTIN,TRAVIS,TX,78753-6600,1185,Yes,,Yes,
LIBERTY TX,WM Supercenter,2121 HIGHWAY 146 BYP,LIBERTY,LIBERTY,TX,77575-6000,1186,No,Not Available,No,Not Available
IOLA KS,WM Supercenter,2200 N STATE ST,IOLA,ALLEN,KS,66749-1636,1187,No,,No,
"BRIDGETON, MO",WM Supercenter,11900 ST CHARLES ROCK RD,BRIDGETON,ST. LOUIS,MO,63044-2612,1188,Yes,Available,Yes,Available
BARBOURVILLE KY,Wal-Mart,301 PARKWAY PLZ,BARBOURVILLE,KNOX,KY,40906-7429,1189,No,,Yes,
BATESVILLE AR,WM Supercenter,3150 HARRISON ST,BATESVILLE,INDEPENDENCE,AR,72501-7515,119,No,,Yes,Available
"BEREA, KY",WM Supercenter,120 JILL DR,BEREA,MADISON,KY,40403-1677,1190,Yes,Available,Yes,Available
HILLSBOROUGH NC,WM Supercenter,501 HAMPTON POINTE B,HILLSBOROUGH,ORANGE,NC,27278-9012,1191,Yes,Available,Yes,Available
MAGEE MS,WM Supercenter,1625 SIMPSON HIGHWAY 49,MAGEE,SIMPSON,MS,39111-4207,1192,No,,Yes,Available
MONROE LA,WM Supercenter,2701 LOUISVILLE AVE,MONROE,OUACHITA,LA,71201-6128,1193,Yes,Available,Yes,Available
OAK RIDGE TN,WM Supercenter,373 S ILLINOIS AVE,OAK RIDGE,ANDERSON,TN,37830-6741,1194,No,Available,Yes,Available
WAVELAND MS,WM Supercenter,460 HIGHWAY 90,WAVELAND,HANCOCK,MS,39576-2508,1195,No,Not Available,No,Not Available
NEW ROADS LA,WM Supercenter,460 HOSPITAL RD,NEW ROADS,POINTE COUPEE,LA,70760-2623,1196,Yes,Available,Yes,Available
ROCKY MOUNT NC,WM Supercenter,1511 BENVENUE RD,ROCKY MOUNT,NASH,NC,27804-6383,1197,Yes,Available,Yes,Available
SAN ANTONIO (N) TX,WM Supercenter,1515 N LOOP 1604 E,SAN ANTONIO,BEXAR,TX,78232-1431,1198,No,Available,Yes,Available
AVON CO,WM Supercenter,171 YODER AVE,AVON,EAGLE,CO,81620-0000,1199,No,,Yes,Available
CLAREMORE OK,WM Supercenter,1500 S LYNN RIGGS BLVD,CLAREMORE,ROGERS,OK,74017-8353,12,Yes,,Yes,Not Available
HUMBOLDT TN,WM Supercenter,2716 N CENTRAL AVE,HUMBOLDT,GIBSON,TN,38343-1560,120,Yes,Available,Yes,Available
COLORADO SPRINGS CO,WM Supercenter,3201 E PLATTE AVE,COLORADO SPRINGS,EL PASO,CO,80909-6408,1200,No,Available,Yes,Available
GARDENDALE AL,WM Supercenter,890 ODUM RD,GARDENDALE,JEFFERSON,AL,35071-4617,1201,No,Available,Yes,Available
WISCONSIN RAPIDS WI,WM Supercenter,4331 8TH ST S,WISCONSIN RAPIDS,WOOD,WI,54494-7833,1202,Yes,,Yes,Available
WIMAUMA FL,WM Supercenter,4928 STATE ROAD 674,WIMAUMA,HILLSBOROUGH,FL,33598-3510,1203,No,Not Available,Yes,Not Available
LAKE CHARLES (W) LA,WM Supercenter,3451 NELSON RD,LAKE CHARLES,CALCASIEU,LA,70605-1209,1204,No,Available,Yes,Available
MACCLENNY FL,WM Supercenter,9218 S STATE ROAD 228,MACCLENNY,BAKER,FL,32063-4738,1205,No,,Yes,Not Available
BATON ROUGE LA,WM Supercenter,3132 COLLEGE DR,BATON ROUGE,EAST BATON ROUGE,LA,70808-3180,1206,No,Available,Yes,Available
CALLAWAY FL PANAMA CITY EAST,WM Supercenter,725 N TYNDALL PKWY,CALLAWAY,BAY,FL,32404-3219,1207,Yes,Available,Yes,Available
LINCOLNTON NC,WM Supercenter,306 N GENERALS BLVD,LINCOLNTON,LINCOLN,NC,28092-3557,1209,Yes,Available,Yes,Available
OKMULGEE OK,WM Supercenter,1800 S WOOD DR,OKMULGEE,OKMULGEE,OK,74447-6826,121,Yes,Available,Yes,Available
NICHOLASVILLE KY,WM Supercenter,1024 N MAIN ST,NICHOLASVILLE,JESSAMINE,KY,40356-2311,1210,No,Available,No,Available
HARVARD IL,WM Supercenter,21101 MCGUIRE RD,HARVARD,MCHENRY,IL,60033-8358,1211,Yes,Available,Yes,Available
SARALAND AL,WM Supercenter,1095 INDUSTRIAL PKWY,SARALAND,MOBILE,AL,36571-3719,1212,No,Available,No,Available
"BROOKSVILLE, FL",WM Supercenter,13300 CORTEZ BLVD,BROOKSVILLE,HERNANDO,FL,34613-4887,1213,No,,Yes,
"COLBY, KS",WM Supercenter,115 W WILLOW ST,COLBY,THOMAS,KS,67701-3749,1214,No,,Yes,
CALHOUN GA,WM Supercenter,450 W BELMONT DR,CALHOUN,GORDON,GA,30701-3016,1215,Yes,Available,Yes,Available
CARROLLTON TX,WM Supercenter,1213 E TRINITY MILLS RD,CARROLLTON,DALLAS,TX,75006-1446,1216,Yes,Available,Yes,Available
FRANKLIN NC,WM Supercenter,273 COMMONS DR,FRANKLIN,MACON,NC,28734-5250,1217,No,,Yes,Not Available
CASA GRANDE AZ,WM Supercenter,1741 E FLORENCE BLVD,CASA GRANDE,PINAL,AZ,85122-4763,1218,No,,Yes,Available
JACKSONVILLE FL,WM Supercenter,12100 LEM TURNER RD,JACKSONVILLE,DUVAL,FL,32218-2304,1219,Yes,Available,Yes,Available
JACKSON MO,WM Supercenter,3051 E JACKSON BLVD,JACKSON,CAPE GIRARDEAU,MO,63755-2910,122,No,,Yes,
ORLANDO FL,WM Supercenter,2500 S KIRKMAN RD,ORLANDO,ORANGE,FL,32811-2345,1220,No,Not Available,No,Not Available
WICHITA KS,WM Supercenter,6110 W KELLOGG DR,WICHITA,SEDGWICK,KS,67209-2361,1221,No,Not Available,No,Not Available
PENSACOLA (N) FL,WM Supercenter,8970 PENSACOLA BLVD,PENSACOLA,ESCAMBIA,FL,32534-1927,1222,No,Not Available,Yes,Not Available
TALLAHASSEE (NE) FL,WM Supercenter,5500 THOMASVILLE RD,TALLAHASSEE,LEON,FL,32312-3814,1223,No,Not Available,Yes,Not Available
PENSACOLA FL,WM Supercenter,2650 CREIGHTON RD,PENSACOLA,ESCAMBIA,FL,32504-7382,1224,Yes,Available,Yes,Available
ORANGE PARK FL,WM Supercenter,899 BLANDING BLVD,ORANGE PARK,CLAY,FL,32065-8917,1225,Yes,Available,Yes,Available
ASHLAND CITY TN,WM Supercenter,1626 HIGHWAY 12 S,ASHLAND CITY,CHEATHAM,TN,37015-3322,1226,No,,No,Available
"AUGUSTA (MARTINEZ), GA",WM Supercenter,260 BOBBY JONES EXPY,AUGUSTA,RICHMOND,GA,30907-2433,1227,No,Available,Yes,Available
ROUND LAKE BEACH IL,WM Supercenter,2680 N IL ROUTE 83,ROUND LAKE BEACH,LAKE,IL,60073-4983,1228,No,Available,Yes,
HOOVER(BIRMINGHAM) AL,WM Supercenter,2780 JOHN HAWKINS PKWY,HOOVER,JEFFERSON,AL,35244-4001,1229,No,Available,No,Available
SEMINOLE OK,WM Supercenter,1500 E WRANGLER BLVD,SEMINOLE,SEMINOLE,OK,74868-3518,123,No,,Yes,Available
"SHOW LOW, AZ",WM Supercenter,5401 S WHITE MOUNTAIN RD,SHOW LOW,NAVAJO,AZ,85901-7849,1230,No,,Yes,Available
THORNTON CO,WM Supercenter,9901 GRANT ST,THORNTON,ADAMS,CO,80229-2157,1231,No,,No,Available
BELTON TX,WM Supercenter,2604 N MAIN ST,BELTON,BELL,TX,76513-1545,1232,No,Available,Yes,Not Available
PAINTSVILLE KY,WM Supercenter,470 N. MAYO TRAIL,PAINTSVILLE,JOHNSON,KY,41240-1806,1233,No,Not Available,Yes,Not Available
MONTICELLO KY,WM Supercenter,175 WALMART PLAZA DR,MONTICELLO,WAYNE,KY,42633-7934,1234,No,,No,
SAN ANTONIO TX,WM Supercenter,5025 NW LOOP 410,SAN ANTONIO,BEXAR,TX,78229-5313,1235,Yes,Available,Yes,Available
GOLDSBORO NC,WM Supercenter,1002 N SPENCE AVE,GOLDSBORO,WAYNE,NC,27534-4270,1236,No,,Yes,Available
DUNN NC,WM Supercenter,590 E JACKSON BLVD,ERWIN,HARNETT,NC,28339-9629,1237,No,,Yes,Available
FAYETTEVILLE NC,WM Supercenter,1550 SKIBO RD,FAYETTEVILLE,CUMBERLAND,NC,28303-3478,1238,Yes,Available,Yes,Available
URBANA OH,WM Supercenter,1840 E US HIGHWAY 36,URBANA,CHAMPAIGN,OH,43078-9600,1239,Yes,Available,No,Available
LITTLE ROCK AR,WM Supercenter,8801 BASELINE RD,LITTLE ROCK,PULASKI,AR,72209-5901,124,Yes,Available,Yes,Available
SIERRA VISTA AZ,WM Supercenter,500 N HIGHWAY 90 BYP,SIERRA VISTA,COCHISE,AZ,85635-2204,1240,Yes,Available,Yes,Available
DAVENPORT IA,WM Supercenter,5811 ELMORE AVE,DAVENPORT,SCOTT,IA,52807-3513,1241,Yes,Available,Yes,Available
HENDERSONVILLE NC,WM Supercenter,250 HIGHLANDS SQUARE DR,HENDERSONVILLE,HENDERSON,NC,28792-5721,1242,No,Available,Yes,Available
MARTINSVILLE VA,WM Supercenter,976 COMMONWEALTH BLVD,MARTINSVILLE,HENRY,VA,24112-1887,1243,Yes,Available,Yes,Available
GREENVILLE / TAYLOR SC,WM Supercenter,3027 WADE HAMPTON BLVD,TAYLORS,GREENVILLE,SC,29687-2789,1244,No,Not Available,No,Not Available
LAKELAND(N) FL,WM Supercenter,5800 US HIGHWAY 98 N,LAKELAND,POLK,FL,33809-3110,1245,Yes,Available,Yes,Available
HAZARD KY,WM Supercenter,120 DANIEL BOONE PLZ,HAZARD,KNOTT,KY,41701-5335,1247,Yes,Available,Yes,Available
MEMPHIS (SE) TN,WM Supercenter,7525 WINCHESTER RD,MEMPHIS,SHELBY,TN,38125-2202,1248,No,Not Available,Yes,Not Available
"SAN ANGELO, TX",WM Supercenter,610 W 29TH ST,SAN ANGELO,TOM GREEN,TX,76903-2828,1249,No,Available,Yes,Available
"FORT SMITH (S), AR",WM Supercenter,2425 S ZERO ST,FORT SMITH,SEBASTIAN,AR,72901-8663,125,Yes,Available,No,Available
CELINA TX,WM Supercenter,TBA,CELINA,COLLIN,TX,75009,1250,,,,
"HIGHLANDS RANCH, CO",WM Supercenter,6675 BUSINESS CENTER DR,HIGHLANDS RANCH,DOUGLAS,CO,80130-3603,1252,No,Available,No,Available
AUSTIN (S) TX,WM Supercenter,710 E BEN WHITE BLVD,AUSTIN,TRAVIS,TX,78704-7404,1253,Yes,Available,Yes,Available
BELLMEAD TX,WM Supercenter,1521 INTERSTATE 35 N,BELLMEAD,MCLENNAN,TX,76705-2466,1254,No,Available,Yes,Available
LAURINBURG NC,WM Supercenter,901 US HIGHWAY 401 S,LAURINBURG,SCOTLAND,NC,28352-5089,1255,Yes,Available,Yes,Available
JOLIET IL,WM Supercenter,2424 W JEFFERSON ST,JOLIET,WILL,IL,60435-6429,1256,No,,Yes,
STAMFORD TX,WM Supercenter,2614 N SWENSON STREET,STAMFORD,HASKELL,TX,79553-2953,1257,No,,Yes,
CORBIN KY,WM Supercenter,60 S STEWART RD,CORBIN,LAUREL,KY,40701-4675,1259,Yes,,No,
LITTLE ROCK AR,WM Supercenter,2700 S SHACKLEFORD RD,LITTLE ROCK,PULASKI,AR,72205-6918,126,Yes,Available,Yes,Available
LUCEDALE MS,WM Supercenter,11228 OLD 63 S,LUCEDALE,GEORGE,MS,39452-4945,1260,No,,Yes,Available
FAYETTEVILLE (NE) NC,WM Supercenter,4601 RAMSEY ST,FAYETTEVILLE,CUMBERLAND,NC,28311-2138,1261,Yes,Available,Yes,Available
"EVANSVILLE, IN",WM Supercenter,401 N BURKHARDT RD,EVANSVILLE,VANDERBURGH,IN,47715-2733,1263,No,Available,Yes,Available
"BELLEFONTAINE, OH",WM Supercenter,2281 US HIGHWAY 68 S,BELLEFONTAINE,LOGAN,OH,43311-8904,1264,No,,Yes,Available
ST LOUIS MO,WM Supercenter,10741 WEST FLORISSANT AVE,SAINT LOUIS,ST. LOUIS,MO,63136-2403,1265,Yes,Available,Yes,Available
BATON ROUGE LA,WM Supercenter,2171 ONEAL LN,BATON ROUGE,EAST BATON ROUGE,LA,70816-3206,1266,Yes,Available,Yes,Available
SUN PRAIRIE WI,WM Supercenter,1905 MCCOY RD,SUN PRAIRIE,DANE,WI,53590-2529,1267,No,Available,No,Available
WHITEVILLE NC,WM Supercenter,200 COLUMBUS CORNERS DR,WHITEVILLE,COLUMBUS,NC,28472-4905,1268,No,,No,Available
MALVERN AR,WM Supercenter,1910 MARTIN LUTHER KING BLVD,MALVERN,HOT SPRING,AR,72104-2203,127,No,,Yes,Available
NORTH AUGUSTA SC,WM Supercenter,1201 KNOX AVE,NORTH AUGUSTA,AIKEN,SC,29841-4056,1270,No,Available,No,Available
MERIDIAN MS,WM Supercenter,2400 HIGHWAY 19 N,MERIDIAN,LAUDERDALE,MS,39307-9377,1271,No,,No,Available
SNYDER TX,WM Supercenter,5110 COLLEGE AVE,SNYDER,SCURRY,TX,79549-6112,1272,No,,Yes,
FOUNTAIN CO,WM Supercenter,6310 S US HIGHWAY 85-87,FOUNTAIN,EL PASO,CO,80817-1006,1273,No,Available,No,Available
WHITEWATER WI,WM Supercenter,1362 W MAIN ST,WHITEWATER,WALWORTH,WI,53190-1504,1274,No,,No,
LEBANON IN,WM Supercenter,2440 N LEBANON ST,LEBANON,BOONE,IN,46052-1100,1275,No,,Yes,
"SHEBOYGAN, WI",WM Supercenter,3711 S TAYLOR DR,SHEBOYGAN,SHEBOYGAN,WI,53081-8495,1276,No,,Yes,Not Available
BLACK RIVER FALLS WI,WM Supercenter,611 STATE HIGHWAY 54,BLACK RIVER FALLS,JACKSON,WI,54615-5453,1277,No,,No,Available
HOUSTON TX,WM Supercenter,10411 N FREEWAY 45,HOUSTON,HARRIS,TX,77037-1124,1279,Yes,Available,Yes,Available
"JONESBORO (W), AR",WM Supercenter,1911 W PARKER RD,JONESBORO,CRAIGHEAD,AR,72404-8465,128,No,,No,Not Available
GRAND JUNCTION CO,WM Supercenter,2881 NORTH AVE,GRAND JUNCTION,MESA,CO,81501-5064,1280,Yes,Available,Yes,Available
SPARTENBURG (EAST) SC,WM Supercenter,2151 E MAIN ST,SPARTANBURG,SPARTANBURG,SC,29307-1441,1281,No,Available,Yes,Available
CONCORDIA KS,WM Supercenter,140 E COLLEGE DR,CONCORDIA,CLOUD,KS,66901-5206,1282,No,,Yes,
STARKE FL,WM Supercenter,14500 US HIGHWAY 301 S,STARKE,BRADFORD,FL,32091-7858,1283,Yes,,Yes,Available
PHENIX CITY AL,WM Supercenter,3700 US-280,PHENIX CITY,RUSSELL,AL,36867-2362,1284,Yes,Available,Yes,Available
OTTUMWA IA,WM Supercenter,1940 VENTURE DR,OTTUMWA,WAPELLO,IA,52501-3766,1285,No,,No,Available
COLUMBIA SC,WM Supercenter,7520 GARNERS FERRY RD,COLUMBIA,RICHLAND,SC,29209-2628,1286,Yes,Available,Yes,Available
BURLINGTON NC,WM Supercenter,3141 GARDEN RD,BURLINGTON,ALAMANCE,NC,27215-9786,1287,No,Available,No,Available
ROXBORO NC,WM Supercenter,1049 DURHAM RD STE A,ROXBORO,PERSON,NC,27573-6123,1288,Yes,Available,Yes,Available
WILMINGTON OH,WM Supercenter,2825 PROGRESS WAY,WILMINGTON,CLINTON,OH,45177-7710,1289,Yes,,Yes,Available
ARDMORE OK,WM Supercenter,1715 N COMMERCE ST,ARDMORE,CARTER,OK,73401-1535,129,Yes,Available,Yes,Available
WILKESBORO NC,WM Supercenter,1801 US HIGHWAY 421,WILKESBORO,WILKES,NC,28697-2279,1290,No,,Yes,
TUCSON (E) AZ,WM Supercenter,7150 E SPEEDWAY BLVD,TUCSON,PIMA,AZ,85710-1318,1291,Yes,Available,Yes,Available
CHRISTIANSBURG VA,WM Supercenter,2400 N FRANKLIN ST,CHRISTIANSBURG,MONTGOMERY,VA,24073-1088,1292,No,Available,Yes,Available
AUGUSTA GA,WM Supercenter,3209 DEANS BRIDGE RD,AUGUSTA,RICHMOND,GA,30906-4201,1293,No,Available,No,Available
MARION IN,WM Supercenter,3240 SOUTHWESTERN,MARION,GRANT,IN,46953-3967,1294,No,,Yes,
MADILL OK,WM Supercenter,1100 S 1ST ST,MADILL,MARSHALL,OK,73446-3900,1295,No,,Yes,
SAN BENITO TX,WM Supercenter,1126 W US HIGHWAY 77,SAN BENITO,CAMERON,TX,78586-4337,1296,No,,No,
CHIEFLAND FL,WM Supercenter,2201 N YOUNG BLVD,CHIEFLAND,LEVY,FL,32626-1957,1297,No,,No,
JACKSONVILLE NC,WM Supercenter,2025 N MARINE BLVD,JACKSONVILLE,ONSLOW,NC,28546-6920,1298,Yes,Available,Yes,Available
COTTONWOOD AZ,WM Supercenter,2003 E RODEO DR,COTTONWOOD,YAVAPAI,AZ,86326-5999,1299,Yes,,Yes,Available
CARTHAGE MO,WM Supercenter,2705 GRAND AVE,CARTHAGE,JASPER,MO,64836-7907,13,No,Not Available,No,Not Available
MUSKOGEE OK,WM Supercenter,1000 W SHAWNEE ST,MUSKOGEE,MUSKOGEE,OK,74401-3509,130,Yes,Available,Yes,Available
NEW BERN NC,WM Supercenter,3105 DR MARTIN LUTHER KING JR BLVD,NEW BERN,CRAVEN,NC,28562-5213,1300,No,,No,Available
ROANOKE (S) VA,WM Supercenter,5350 CLEARBROOK VILLAGE LN,ROANOKE,ROANOKE,VA,24014-6606,1301,Yes,Available,Yes,Available
NORTON VA,WM Supercenter,780 COMMONWEALTH DR,NORTON,NORTON CITY,VA,24273-4051,1302,No,,No,Available
GEORGETOWN TX,WM Supercenter,620 S INTERSTATE 35,GEORGETOWN,WILLIAMSON,TX,78628-4157,1303,Yes,Available,Yes,Available
WARSAW IN,WM Supercenter,2501 WALTON BLVD,WARSAW,KOSCIUSKO,IN,46582-6500,1304,No,,Yes,Available
JANESVILLE WI,WM Supercenter,3800 DEERFIELD DR,JANESVILLE,ROCK,WI,53546-4448,1305,No,Available,No,Available
ALAMOGORDO NM,WM Supercenter,233 S NEW YORK AVE,ALAMOGORDO,OTERO,NM,88310-6531,1306,No,Available,Yes,Available
BOURBONAIS IL,WM Supercenter,2080 N STATE ROUTE 50,BOURBONNAIS,KANKAKEE,IL,60914-4410,1307,No,Available,Yes,Available
LITTLETON/DENVER (SW) CO,WM Supercenter,7700 W QUINCY AVE,LITTLETON,DENVER,CO,80123-2404,1308,No,Available,No,Available
"SALEM, VA",WM Supercenter,1851 W MAIN ST,SALEM,SALEM CITY,VA,24153-3111,1309,No,Not Available,No,Not Available
MT PLEASANT TX,WM Supercenter,2311 S JEFFERSON AVE,MOUNT PLEASANT,TITUS,TX,75455-6011,131,No,,Yes,
TERRE HAUTE (S) IN,WM Supercenter,5555 S US HIGHWAY 41,TERRE HAUTE,VIGO,IN,47802-4715,1310,Yes,Available,Yes,Available
COLUMBUS (N) GA,WM Supercenter,5448 WHITTLESEY BLVD STE B,COLUMBUS,MUSCOGEE,GA,31909-7298,1311,No,Available,No,Available
SPRING LAKE NC,WM Supercenter,670 LILLINGTON HWY,SPRING LAKE,CUMBERLAND,NC,28390-2119,1312,No,Not Available,Yes,Not Available
SAN ANTONIO (S) TX,WM Supercenter,1200 SE MILITARY DR,SAN ANTONIO,BEXAR,TX,78214-2851,1313,Yes,Available,Yes,Available
BUFORD GA,WM Supercenter,3795 BUFORD DR,BUFORD,GWINNETT,GA,30519-4906,1314,No,,No,Available
CHEYENNE WY,WM Supercenter,2032 DELL RANGE BLVD,CHEYENNE,LARAMIE,WY,82009-4956,1315,No,Available,Yes,Available
STURGEON BAY WI,WM Supercenter,1536 EGG HARBOR RD,STURGEON BAY,DOOR,WI,54235-0000,1316,No,,No,Available
ASHEVILLE (E) NC,WM Supercenter,125 BLEACHERY BLVD,ASHEVILLE,BUNCOMBE,NC,28805-8209,1317,Yes,Available,Yes,Available
KNOXVILLE (NW) TN,WM Supercenter,6777 CLINTON HWY,KNOXVILLE,KNOX,TN,37912-1020,1318,No,Available,Yes,Available
KNOXVILLE (N) TN,WM Supercenter,7550 NORRIS FWY,KNOXVILLE,KNOX,TN,37938-4221,1319,No,Available,Yes,Available
KINGFISHER OK,WM Supercenter,200 STARLITE DR,KINGFISHER,KINGFISHER,OK,73750-4922,132,No,Not Available,Yes,Not Available
KNOXVILLE (SE) TN,WM Supercenter,7420 CHAPMAN HWY,KNOXVILLE,KNOX,TN,37920-6614,1320,No,,Yes,Not Available
"SMITHFIELD, NC",WM Supercenter,1299 N BRIGHTLEAF BLVD,SMITHFIELD,JOHNSTON,NC,27577-4251,1321,No,,Yes,Available
LEXINGTON NC,WM Supercenter,160 LOWES BLVD,LEXINGTON,DAVIDSON,NC,27292-5347,1322,No,Available,No,Available
PEORIA IL,Wal-Mart,3315 N UNIVERSITY ST,PEORIA,PEORIA,IL,61604-1320,1323,No,Not Available,Yes,Not Available
NOGALES AZ,WM Supercenter,100 W WHITE PARK DR,NOGALES,SANTA CRUZ,AZ,85621-1021,1324,No,,No,Available
TUCSON (N) AZ,Wal-Mart,455 E WETMORE RD,TUCSON,PIMA,AZ,85705-1743,1325,No,,Yes,
NORTH GRAND ISLAND,WM Supercenter,2250 N DIERS AVE,GRAND ISLAND,HALL,NE,68803-1258,1326,No,Not Available,No,Not Available
MADISON IN,WM Supercenter,567 IVY TECH DR,MADISON,JEFFERSON,IN,47250-1802,1327,No,Not Available,No,Not Available
WINSLOW AZ,WM Supercenter,700 MIKES PIKE ST,WINSLOW,NAVAJO,AZ,86047-2400,1328,No,,Yes,
LOGANSPORT IN,WM Supercenter,240 MALL RD,LOGANSPORT,CASS,IN,46947-2285,1329,No,,No,Available
ASHDOWN AR,WM Supercenter,297 HWY 32 BY-PASS E,ASHDOWN,LITTLE RIVER,AR,71822-8972,133,Yes,,Yes,
LIMA OH,WM Supercenter,2450 ALLENTOWN RD,LIMA,ALLEN,OH,45805-1712,1330,No,Available,Yes,Available
SIDNEY OH,WM Supercenter,2400 MICHIGAN ST,SIDNEY,SHELBY,OH,45365-9080,1331,Yes,Available,No,Available
"SOUTH SIOUX CITY, NE",WM Supercenter,1601 CORNHUSKER DR,SOUTH SIOUX CITY,DAKOTA,NE,68776-3924,1332,No,Available,No,Available
VAN WERT OH,WM Supercenter,301 TOWN CENTER BLVD,VAN WERT,VAN WERT,OH,45891-9087,1333,No,,Yes,Available
CLAYPOOL/MIAMI AZ,WM Supercenter,100 SOUTH RAGUS RD,CLAYPOOL,GILA,AZ,85532-0000,1334,No,,Yes,
LEXINGTON VA,WM Supercenter,1233 N LEE HWY,LEXINGTON,ROCKBRIDGE,VA,24450-3307,1335,No,,No,
MARION VA,Wal-Mart,1193 N MAIN ST,MARION,SMYTH,VA,24354-4121,1336,No,,Yes,
ELKIN NC,WM Supercenter,548 CC CAMP RD,ELKIN,SURRY,NC,28621-8704,1337,No,Not Available,Yes,Available
COLUMBUS (S) GA,WM Supercenter,3515 VICTORY DR,COLUMBUS,MUSCOGEE,GA,31903-2733,1338,No,Not Available,No,Not Available
COLUMBIA (NE) SC,WM Supercenter,10060 TWO NOTCH RD,COLUMBIA,RICHLAND,SC,29223-4396,1339,Yes,Available,Yes,Available
ELK CITY OK,WM Supercenter,210 REGIONAL DR,ELK CITY,BECKHAM,OK,73644-6472,134,No,,No,Not Available
ATLANTA/DECATUR GA,WM Supercenter,5401 FAIRINGTON RD,LITHONIA,DEKALB,GA,30038-5113,1340,Yes,Available,Yes,Available
EVANSVILLE(W) IN,WM Supercenter,335 S RED BANK RD,EVANSVILLE,VANDERBURGH,IN,47712-4745,1341,No,Not Available,No,Not Available
KENNER LA,WM Supercenter,300 W ESPLANADE AVE,KENNER,JEFFERSON,LA,70065-2540,1342,Yes,Available,Yes,Available
STAUNTON VIRGINIA,WM Supercenter,1028 RICHMOND AVE,STAUNTON,STAUNTON CITY,VA,24401-4901,1344,No,Available,Yes,Available
SOUTH BOSTON VA,WM Supercenter,3471 OLD HALIFAX RD,SOUTH BOSTON,HALIFAX,VA,24592-4936,1345,No,,Yes,Available
OCEAN SPRINGS MS,WM Supercenter,3911 BIENVILLE BLVD,OCEAN SPRINGS,JACKSON,MS,39564-4519,1346,No,Available,Yes,Available
SAN ANTONIO (E) TX,WM Supercenter,1430 AUSTIN HWY,SAN ANTONIO,BEXAR,TX,78209-4338,1347,No,Available,No,Available
WILMINGTON (S) NC,WM Supercenter,5135 CAROLINA BEACH RD,WILMINGTON,NEW HANOVER,NC,28412-2516,1348,No,Not Available,Yes,Not Available
SUNRISE FL,WM Supercenter,3306 N UNIVERSITY DR,SUNRISE,BROWARD,FL,33351-6720,1349,No,,Yes,Available
CHILLICOTHE MO,WM Supercenter,1000 GRAVES ST,CHILLICOTHE,LIVINGSTON,MO,64601-3071,135,No,,No,Available
LYNCHBURG VA,WM Supercenter,3900 WARDS RD,LYNCHBURG,LYNCHBURG CITY,VA,24502-2942,1350,Yes,Available,Yes,Available
BECKLEY WV,WM Supercenter,1330 N EISENHOWER DR,BECKLEY,RALEIGH,WV,25801-3156,1351,No,Available,No,Available
WALLACE NC,WM Supercenter,5625 S NC 41 HWY,WALLACE,DUPLIN,NC,28466-6095,1352,No,,Yes,Available
HARAHAN LA,WM Supercenter,5110 JEFFERSON HWY,HARAHAN,JEFFERSON,LA,70123-5302,1353,Yes,Available,Yes,Available
WASHINGTON NC,WM Supercenter,570 PAMLICO PLZ,WASHINGTON,BEAUFORT,NC,27889-3337,1354,No,,Yes,
MOREHEAD CITY NC,WM Supercenter,300 NC HIGHWAY 24,MOREHEAD CITY,CARTERET,NC,28557-2551,1355,No,Not Available,Yes,Not Available
MARTINSVILLE IN,WM Supercenter,410 GRAND VALLEY BLVD,MARTINSVILLE,MORGAN,IN,46151-6123,1356,Yes,Available,Yes,Available
SILVER CITY NM,WM Supercenter,2501 HIGHWAY 180 E,SILVER CITY,GRANT,NM,88061-7791,1357,No,,Yes,Available
